type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視　　嗅,3.781秒,2,0,0,0,0,0,2.037963867187109,4.081420898437342
IPQ,1,1,視　　嗅,20.371秒,3,1,91,0,5.679931640624857,6.78405761718738,96.67993164062486,6.78405761718738
IPQ,1,1,視　　嗅,29.525秒,4,3,264,0,6.91589351972495,9.44274867385609,270.91589351972493,9.44274867385609
IPQ,1,1,視　　嗅,35.641秒,5,4,385,0,7.514648402537446,10.979953719150755,392.51464840253743,10.979953719150755
IPQ,1,1,視　　嗅,44.540秒,6,6,511,0,8.399047816489025,13.628539689480876,519.399047816489,13.628539689480876
IPQ,1,1,視　　嗅,50.724秒,7,7,639,0,9.0032958633639,15.056762345729139,648.0032958633639,15.056762345729139
IPQ,1,1,視　　嗅,62.43秒,8,10,815,0,11.013793910238736,18.402099259791495,826.0137939102387,18.402099259791495
IPQ,1,1,視　　嗅,70.357秒,9,12,936,0,12.123413050862466,20.841064103541495,948.1234130508625,20.841064103541495
IPQ,1,1,視　　嗅,80.626秒,10,14,1124,0,13.145999873371995,23.35950813214817,1137.145999873372,23.35950813214817
IPQ,1,1,視　　嗅,89.143秒,11,15,1295,0,14.40856930086209,30.14099039519235,1309.4085693008622,30.14099039519235
IPQ,1,1,視　　嗅,97.891秒,12,17,1450,0,17.402343248815257,42.21496428199716,1467.4023432488152,42.21496428199716
IPQ,1,1,視　　嗅,104.930秒,13,18,1591,0,20.253293768232126,48.1146220234424,1611.2532937682322,48.1146220234424
IPQ,1,1,視　　嗅,116.44秒,14,21,1778,0,22.63654532103969,53.05794545773842,1800.6365453210396,53.05794545773842
IPQ,1,1,視　　嗅,124.360秒,15,22,1953,0,23.795602705172627,56.936096724754115,1976.7956027051725,56.936096724754115
IPQ,1,1,視　　嗅,130.594秒,16,23,2076,0,24.894226193574926,59.38054686831318,2100.894226193575,59.38054686831318
IPQ,1,1,視　　嗅,141.645秒,17,25,2288,0,27.530949877027695,66.34961787195985,2315.5309498770275,66.34961787195985
IPQ,1,1,視　　嗅,149.795秒,18,26,2469,0,28.365910772783838,68.2832118413888,2497.365910772784,68.2832118413888
IPQ,1,1,視　　嗅,155.279秒,19,27,2572,0,29.13705078926024,69.75826089697395,2601.1370507892602,69.75826089697395
IPQ,1,1,視　　嗅,166.276秒,20,31,2672,0,31.700760160952036,74.21032006357366,2703.700760160952,74.21032006357366
IPQ,1,1,視　　嗅,175.900秒,21,33,2863,0,33.804044609647725,77.17571163061936,2896.804044609648,77.17571163061936
IPQ,1,1,視　　嗅,184.740秒,22,34,3054,0,34.88171536157155,79.44740578667366,3088.8817153615714,79.44740578667366
IPQ,1,1,視　　嗅,191.362秒,23,36,3157,0,36.01850641373235,83.12753101647584,3193.018506413732,83.12753101647584
IPQ,1,1,視　　嗅,201.971秒,24,38,3391,0,37.93556513888438,86.36234214671336,3428.935565138884,86.36234214671336
